id,title,author1,author2,author_gender,publication_date,publisher,translation,category,storytel_category,thema_codes,narrator
SvB_BS_001,Da Vinci-koden,"Brown, Dan",,M,2004,Bonniers,transl,CRIME,Thrillers,"F, FH",Jan Waldecranz
SvB_BS_002,Tjuvarnas marknad,"Guillou, Jan",,M,2004,Piratförlaget,no,CRIME,Thrillers,"F, FH",Tomas Bolme
SvB_BS_003,Asyl,"Marklund, Liza",Maria Eriksson,F,2004,Piratförlaget,no,OTHER,Biographies,DNB,Lia Boysen
SvB_BS_004,Skuggorna och regnet,"Nesser, Håkan",,M,2004,Bonniers,no,CRIME,Fiction,FB,Torsten Wahlund
SvB_BS_005,I skuggan av ett brott,"Henschen, Helena",,F,2004,Brombergs,no,OTHER,Fiction,FB,Irene Lindh
SvB_BS_006,Boken om Blanche och Marie,"Enquist, Per Olov",,M,2004,Norstedts,no,PRESTIGE,Fiction,"F, FBA",Anita Björk
SvB_BS_007,Gregorius,"Ohlsson, Bengt",,M,2004,Bonniers,no,PRESTIGE,Fiction,"F, FB",Johan Rabaeus
SvB_BS_008,Den röda vargen,"Marklund, Liza",,F,2003,Piratförlaget,no,CRIME,Crime,"FF, FH",Katarina Ewerlöf
SvB_BS_009,"En annan tid, ett annat liv","Persson, Leif GW",,M,2003,Bonniers,no,CRIME,Crime,"FF, FB",Thomas Pontén
SvB_BS_010,Bortom sanningen,"Holt, Anne",,F,2003,Piratförlaget,transl,CRIME,Crime,"FF, FH",Torsten Wahlund
SvB_BS_011,Ett öga rött,"Khemiri, Jonas Hassen",,M,2003,Bonniers,no,OTHER,Fiction,"F, FB",Hamadi Khemiri
SvB_BS_012,Solstorm,"Larsson, Åsa",,F,2003,Bonniers,no,CRIME,Crime,"FF, FF, FH",Marie Richardson
SvB_BS_013,Änglar och demoner,"Brown, Dan",,M,2005,Bonniers,transl,CRIME,Crime,"F, FF, FH",Johan Rabaeus
SvB_BS_014,I cirkelns mitt,"Brown, Dan",,M,2005,Bonniers,transl,CRIME,Crime,"F, FF, FH",Per Mattsson
SvB_BS_015,Linda - som i Lindamordet,"Persson, Leif GW",,M,2005,Bonniers,no,CRIME,NONE,NONE,NONE
SvB_BS_016,Gangsters,"Östergren, Klas",,M,2005,Bonniers,no,PRESTIGE,NONE,NONE,NONE
SvB_BS_017,Kennedys hjärna,"Mankell, Henning",,M,2005,Leopard,no,CRIME,Thrillers,"F, FH",Helena Bergström
SvB_BS_018,Stenhuggaren,"Läckberg, Camilla",,F,2005,Forum,no,CRIME,Crime,"FF, FF, FH",Katarina Ewerlöf
SvB_BS_019,Efter alla år av saknad,"Robinson, Peter",,M,2003,Minotaur,transl,CRIME,Crime,"FF, FF, FH",Tomas Bolme
SvB_BS_020,Det blod som spillts,"Larsson, Åsa",,F,2004,Bonniers,no,CRIME,Crime,"FF, FF, FH",Katarina Ewerlöf
SvB_BS_021,Predikanten,"Läckberg, Camilla",,F,2004,Forum,no,CRIME,Crime,"FF, FF, FH",Eva Röse
SvB_BS_022,Små citroner gula,"Ingemarsson, Kajsa",,F,2004,Norstedts,no,OTHER,Fiction,"F, FBA",Kajsa Ingemarsson
SvB_BS_023,Tillsammans är man mindre ensam,"Gavalda, Anna",,F,2005,Bonniers,transl,OTHER,Romance,"F, FR",Eva Röse
SvB_BS_024,Madame Terror,"Guillou, Jan",,M,2006,Piratförlaget,no,CRIME,Thrillers,"F, FH",Tomas Bolme
SvB_BS_025,Nobels testamente,"Marklund, Liza",,F,2006,Piratförlaget,no,CRIME,Crime,"FF, FH",Katarina Ewerlöf
SvB_BS_026,Flickan som lekte med elden,"Larsson, Stieg",,M,2006,Norstedts,no,CRIME,Thrillers,"F, FH","Reine Brynolfsson, Sherman Howard"
SvB_BS_027,Olycksfågeln,"Läckberg, Camilla",,F,2006,Forum,no,CRIME,Crime,"FF, FF, FH",Katarina Ewerlöf
SvB_BS_028,Svart stig,"Larsson, Åsa",,F,2006,Bonniers,no,CRIME,Crime,"FF, FF, FH",Katarina Ewerlöf
SvB_BS_029,Människa utan hund,"Nesser, Håkan",,M,2006,Bonniers,no,CRIME,Fiction,FB,Håkan Nesser
SvB_BS_030,Svinalängorna,"Alakoski, Susanna",,F,2006,Bonniers,no,PRESTIGE,Fiction,"F, FB",Sannamari Patjas
SvB_BS_031,Mannen som dog som en lax,"Niemi, Mikael",,M,2006,Norstedts,no,OTHER,Fiction,"F, FBA",Mikael Niemi
SvB_BS_032,Skam,"Alvtegen, Karin",,F,2005,Natur & Kultur,no,OTHER,Crime,"FF, FH",Karin Alvtegen
SvB_BS_033,Den amerikanska flickan,"Fagerholm, Monika",,F,2005,Bonniers,no,PRESTIGE,Fiction,"F, FB",NONE
SvB_BS_034,Den ryske vännen,"Ingemarsson, Kajsa",,F,2005,Forum,no,OTHER,Thrillers,"F, FH",Pia Johansson
SvB_BS_035,En lek med eld,"Robinson, Peter",,M,2004,Minotaur,transl,CRIME,Crime,"FF, FF, FH",Tomas Bolme
SvB_BS_036,Män som hatar kvinnor,"Larsson, Stieg",,M,2005,Norstedts,no,CRIME,Thrillers,"F, FH",Reine Brynolfsson
SvB_BS_037,Isprinsessan,"Läckberg, Camilla",,F,2003,Warne,no,CRIME,Crime,"FF, FF, FH",Katarina Ewerlöf
SvB_BS_038,Mordet på Harriet Krohn,"Fossum, Karin",,F,2005,Forum,transl,CRIME,Crime,"FF, FF, FH",Torsten Wahlund
SvB_BS_039,Mossvikenfruar. Chansen,"Hamberg, Emma",,F,2005,Bonniers,no,OTHER,Fiction,"F, FB",Emma Hamberg
SvB_BS_040,Box 21,"Roslund, Anders",Börge Hellström,M,2004,Piratförlaget,no,CRIME,Crime,"FF, FH",Thomas Hanzon
SvB_BS_041,Flickan med majblommorna,"Wahlberg, Karin",,F,2004,Wahlström & Widstrand,no,CRIME,Crime,"FF, FF, FH",Torsten Wahlund
SvB_BS_042,Luftslottet som sprängdes,"Larsson, Stieg",,M,2007,Norstedts,no,CRIME,Thrillers,"F, FH",Reine Brynolfsson
SvB_BS_043,Tyskungen,"Läckberg, Camilla",,F,2007,Forum,no,CRIME,Crime,"FF, FF, FH",Katarina Ewerlöf
SvB_BS_044,Livstid,"Marklund, Liza",,F,2007,Piratförlaget,no,CRIME,Crime,"FF, FH",Katarina Ewerlöf
SvB_BS_045,Faller fritt som i en dröm,"Persson, Leif GW",,M,2007,Bonniers,no,CRIME,Crime,"FF, FF, FH",Peter Andersson
SvB_BS_046,En helt annan historia,"Nesser, Håkan",,M,2007,Bonniers,no,CRIME,Fiction,FB,Håkan Nesser
SvB_BS_047,Fienden inom oss,"Guillou, Jan",,M,2007,Piratförlaget,no,CRIME,Thrillers,"F, FH",Tomas Bolme
SvB_BS_048,Norrlands akvavit,"Lindgren, Torgny",,M,2007,Norstedts,no,PRESTIGE,Fiction,"F, FBA",Torgny Lindgren
SvB_BS_049,Tusen strålande solar,"Hosseini, Khaled",,M,2007,Wahlström & Widstrand,transl,OTHER,Fiction,"F, FB",Sharon Dyall
SvB_BS_050,Skugga,"Alvtegen, Karin",,F,2007,Natur & Kultur,no,CRIME,Crime,"FF, FH",Karin Alvtegen
SvB_BS_051,En märklig affär,"Robinson, Peter",,M,2005,Minotaur,transl,CRIME,Crime,"FF, FF, FH",Tomas Bolme
SvB_BS_052,Flyga drake,"Hosseini, Khaled",,M,2004,Wahlström & Widstrand,transl,OTHER,Fiction,"F, FB",Krister Henriksson
SvB_BS_053,Den döende dandyn,"Jungstedt, Mari",,F,2006,Bonniers,no,CRIME,Crime,"FF, FH",Katarina Ewerlöf
SvB_BS_054,Snabba cash,"Lapidus, Jens",,M,2006,Wahlström & Widstrand,no,CRIME,Crime,"F, FF, FH",Morgan Alling
SvB_BS_055,Montecore. En unik tiger,"Khemiri, Jonas Hassen",,M,2006,Bonniers,no,PRESTIGE,Fiction,"F, FB","Hamadi Khemiri, Rikard Wolff"
SvB_BS_056,Nu vill jag sjunga dig milda sånger,"Olsson, Linda",,F,2006,Bonniers,transl,OTHER,Fiction,FB,Linda Olsson
SvB_BS_057,Aldrig fucka upp,"Lapidus, Jens",,M,2008,Wahlström & Widstrand,no,CRIME,Crime,"F, FF, FH",Jonas Malmsjö
SvB_BS_058,Men inte om det gäller din dotter,"Guillou, Jan",,M,2008,Piratförlaget,no,CRIME,Thrillers,"F, FH",Tomas Bolme
SvB_BS_059,Sjöjungfrun,"Läckberg, Camilla",,F,2008,Forum,no,CRIME,Crime,"FF, FF, FH",Katarina Ewerlöf
SvB_BS_060,Kinesen,"Mankell, Henning",,M,2008,Leopard,no,CRIME,Crime,"FF, FH",Johan Rabaeus
SvB_BS_061,En plats i solen,"Marklund, Liza",,F,2008,Piratförlaget,no,CRIME,Crime,"FF, FH",Katarina Ewerlöf
SvB_BS_062,Den som dödar draken,"Persson, Leif GW",,M,2008,Bonniers,no,CRIME,Crime,"FF, FF, FH",Peter Andersson
SvB_BS_063,Till dess din vrede upphör,"Larsson, Åsa",,F,2008,Bonniers,no,CRIME,Crime,"FF, FF, FH",Katarina Ewerlöf
SvB_BS_064,Nattfåk,"Theorin, Johan",,M,2008,Wahlström & Widstrand,no,CRIME,Crime,"F, FF, FH",Magnus Krepper
SvB_BS_065,Midvinterblod,"Kallentoft, Mons",,M,2007,Natur & Kultur,no,CRIME,Crime,"FF, FF, FH",Torsten Wahlund
SvB_BS_066,Mig äger ingen,"Linderborg, Åsa",,F,2007,Atlas,no,PRESTIGE,Fiction,"F, FBA","Katarina Ewerlöf, Steve Jenkins"
SvB_BS_067,Den förlorade symbolen,"Brown, Dan",,M,2009,Bonniers,transl,CRIME,Crime,"F, FF, FH",Jonas Malmsjö
SvB_BS_068,Fyrvaktaren,"Läckberg, Camilla",,F,2009,Forum,no,CRIME,Crime,FF,Katarina Ewerlöf
SvB_BS_069,Den orolige mannen,"Mankell, Henning",,M,2009,Leopard,no,CRIME,Crime,"FF, FH",Krister Henriksson
SvB_BS_070,Hypnotisören,"Kepler, Lars",,2,2009,Bonniers,no,CRIME,Crime,FF,Jonas Malmsjö
SvB_BS_071,Tre sekunder,"Roslund, Anders",Börge Hellström,M,2009,Piratförlaget,no,CRIME,Crime,"FF, FH",Peter Andersson
SvB_BS_072,Hundraåringen som klev ut genom fönstret och försvann,"Jonasson, Jonas",,M,2009,Piratförlaget,no,OTHER,Fiction,"F, FBA",Björn Granath
