id,title,author1,author2,publication_date,hb_year,hb_pos,pb_year,pb_pos,str_year,str_pos,comment
SvB_BS_001,Da Vinci-koden,"Brown, Dan",,2004,2004,1,na,na,na,na,
SvB_BS_002,Tjuvarnas marknad,"Guillou, Jan",,2004,2004,2,na,na,na,na,
SvB_BS_003,Asyl,"Marklund, Liza",Maria Eriksson,2004,2004,3,na,na,na,na,
SvB_BS_004,Skuggorna och regnet,"Nesser, Håkan",,2004,2004,4,na,na,na,na,
SvB_BS_005,I skuggan av ett brott,"Henschen, Helena",,2004,2004,5,na,na,na,na,
SvB_BS_006,Boken om Blanche och Marie,"Enquist, Per Olov",,2004,2004,7,na,na,na,na,
SvB_BS_007,Gregorius,"Ohlsson, Bengt",,2004,2004,8,na,na,na,na,
SvB_BS_008,Den röda vargen,"Marklund, Liza",,2003,2004,9,na,na,na,na,
SvB_BS_009,"En annan tid, ett annat liv","Persson, Leif GW",,2003,2004,10,na,na,na,na,
SvB_BS_010,Bortom sanningen,"Holt, Anne",,2003,no,no,2004,5,na,na,
SvB_BS_011,Ett öga rött,"Khemiri, Jonas Hassen",,2003,no,no,2004,3,na,na,
SvB_BS_012,Solstorm,"Larsson, Åsa",,2003,no,no,2004,6,na,na,
SvB_BS_013,Änglar och demoner,"Brown, Dan",,2005,2005,1,na,na,na,na,
SvB_BS_014,I cirkelns mitt,"Brown, Dan",,2005,2005,3,na,na,na,na,
SvB_BS_015,Linda - som i Lindamordet,"Persson, Leif GW",,2005,2005,5,na,na,na,na,
SvB_BS_016,Gangsters,"Östergren, Klas",,2005,2005,6,na,na,na,na,
SvB_BS_017,Kennedys hjärna,"Mankell, Henning",,2005,2005,8,na,na,na,na,
SvB_BS_018,Stenhuggaren,"Läckberg, Camilla",,2005,2005,10,na,na,na,na,
SvB_BS_019,Efter alla år av saknad,"Robinson, Peter",,2003,no,no,2005,5,na,na,
SvB_BS_020,Det blod som spillts,"Larsson, Åsa",,2004,no,no,2005,7,na,na,
SvB_BS_021,Predikanten,"Läckberg, Camilla",,2004,no,no,2005,3,na,na,
SvB_BS_022,Små citroner gula,"Ingemarsson, Kajsa",,2004,no,no,2005,1,na,na,
SvB_BS_023,Tillsammans är man mindre ensam,"Gavalda, Anna",,2005,no,no,2006,3,na,na,
SvB_BS_024,Madame Terror,"Guillou, Jan",,2006,2006,1,na,na,na,na,
SvB_BS_025,Nobels testamente,"Marklund, Liza",,2006,2006,2,na,na,na,na,
SvB_BS_026,Flickan som lekte med elden,"Larsson, Stieg",,2006,2006,3,na,na,na,na,
SvB_BS_027,Olycksfågeln,"Läckberg, Camilla",,2006,2006,5,na,na,na,na,
SvB_BS_028,Svart stig,"Larsson, Åsa",,2006,2006,7,na,na,na,na,
SvB_BS_029,Människa utan hund,"Nesser, Håkan",,2006,2006,8,na,na,na,na,
SvB_BS_030,Svinalängorna,"Alakoski, Susanna",,2006,2006,9,na,na,na,na,
SvB_BS_031,Mannen som dog som en lax,"Niemi, Mikael",,2006,2006,10,na,na,na,na,
SvB_BS_032,Skam,"Alvtegen, Karin",,2005,no,no,2006,12,na,na,
SvB_BS_033,Den amerikanska flickan,"Fagerholm, Monika",,2005,no,no,2006,10,na,na,
SvB_BS_034,Den ryske vännen,"Ingemarsson, Kajsa",,2005,no,no,2006,11,na,na,
SvB_BS_035,En lek med eld,"Robinson, Peter",,2004,no,no,2006,15,na,na,
SvB_BS_036,Män som hatar kvinnor,"Larsson, Stieg",,2005,no,no,2006,1,na,na,
SvB_BS_037,Isprinsessan,"Läckberg, Camilla",,2003,no,no,2006,6,na,na,
SvB_BS_038,Mordet på Harriet Krohn,"Fossum, Karin",,2005,no,no,2006,20,na,na,
SvB_BS_039,Mossvikenfruar. Chansen,"Hamberg, Emma",,2005,no,no,2006,18,na,na,
SvB_BS_040,Box 21,"Roslund, Anders",Börge Hellström,2004,no,no,2006,16,na,na,
SvB_BS_041,Flickan med majblommorna,"Wahlberg, Karin",,2004,no,no,2006,19,na,na,
SvB_BS_042,Luftslottet som sprängdes,"Larsson, Stieg",,2007,2007,1,na,na,na,na,
SvB_BS_043,Tyskungen,"Läckberg, Camilla",,2007,2007,2,na,na,na,na,
SvB_BS_044,Livstid,"Marklund, Liza",,2007,2007,3,na,na,na,na,
SvB_BS_045,Faller fritt som i en dröm,"Persson, Leif GW",,2007,2007,4,na,na,na,na,
SvB_BS_046,En helt annan historia,"Nesser, Håkan",,2007,2007,5,na,na,na,na,
SvB_BS_047,Fienden inom oss,"Guillou, Jan",,2007,2007,6,na,na,na,na,
SvB_BS_048,Norrlands akvavit,"Lindgren, Torgny",,2007,2007,7,na,na,na,na,
SvB_BS_049,Tusen strålande solar,"Hosseini, Khaled",,2007,2007,8,na,na,na,na,
SvB_BS_050,Skugga,"Alvtegen, Karin",,2007,2007,10,na,na,na,na,
SvB_BS_051,En märklig affär,"Robinson, Peter",,2005,no,no,2007,19,na,na,
SvB_BS_052,Flyga drake,"Hosseini, Khaled",,2004,no,no,2007,12,na,na,
SvB_BS_053,Den döende dandyn,"Jungstedt, Mari",,2006,no,no,2007,16,na,na,
SvB_BS_054,Snabba cash,"Lapidus, Jens",,2006,no,no,2007,3,na,na,
SvB_BS_055,Montecore. En unik tiger,"Khemiri, Jonas Hassen",,2006,no,no,2007,18,na,na,
SvB_BS_056,Nu vill jag sjunga dig milda sånger,"Olsson, Linda",,2006,2007,14,na,na,na,na,
SvB_BS_057,Aldrig fucka upp,"Lapidus, Jens",,2008,2008,1,na,na,na,na,
SvB_BS_058,Men inte om det gäller din dotter,"Guillou, Jan",,2008,2008,2,na,na,na,na,
SvB_BS_059,Sjöjungfrun,"Läckberg, Camilla",,2008,2008,3,na,na,na,na,
SvB_BS_060,Kinesen,"Mankell, Henning",,2008,2008,4,na,na,na,na,
SvB_BS_061,En plats i solen,"Marklund, Liza",,2008,2008,5,na,na,na,na,
SvB_BS_062,Den som dödar draken,"Persson, Leif GW",,2008,2008,6,na,na,na,na,
SvB_BS_063,Till dess din vrede upphör,"Larsson, Åsa",,2008,2008,8,na,na,na,na,
SvB_BS_064,Nattfåk,"Theorin, Johan",,2008,2008,10,na,na,na,na,
SvB_BS_065,Midvinterblod,"Kallentoft, Mons",,2007,no,no,2008,8,na,na,
SvB_BS_066,Mig äger ingen,"Linderborg, Åsa",,2007,no,no,2008,4,na,na,
SvB_BS_067,Den förlorade symbolen,"Brown, Dan",,2009,2009,1,na,na,na,na,
SvB_BS_068,Fyrvaktaren,"Läckberg, Camilla",,2009,2009,2,na,na,na,na,
SvB_BS_069,Den orolige mannen,"Mankell, Henning",,2009,2009,3,na,na,na,na,
SvB_BS_070,Hypnotisören,"Kepler, Lars",,2009,2009,4,na,na,na,na,
SvB_BS_071,Tre sekunder,"Roslund, Anders",Börge Hellström,2009,2009,5,na,na,na,na,
SvB_BS_072,Hundraåringen som klev ut genom fönstret och försvann,"Jonasson, Jonas",,2009,2009,7,na,na,na,na,
SvB_BS_073,Den dubbla tystnaden,"Jungstedt, Mari",,2009,2009,8,na,na,na,na,
SvB_BS_074,Den mörka ängeln,"Jungstedt, Mari",,2008,no,no,2009,20,na,na,
SvB_BS_075,Sommardöden,"Kallentoft, Mons",,2008,no,no,2009,8,na,na,
SvB_BS_076,Snömannen,"Nesbø, Jo",,2008,no,no,2009,14,na,na,
SvB_BS_077,Paganinikontraktet,"Kepler, Lars",,2010,2010,4,na,na,na,na,
SvB_BS_078,Blodläge,"Theorin, Johan",,2010,2010,6,na,na,na,na,
SvB_BS_079,Den döende detektiven,"Persson, Leif GW",,2010,2010,7,na,na,na,na,
SvB_BS_080,Postcard Killers,"Marklund, Liza",James Patterson,2009,2010,10,na,na,na,na,
SvB_BS_081,1222 över havet,"Holt, Anne",,2008,no,no,2010,9,na,na,
SvB_BS_082,Bara vanligt vatten,"Ingemarsson, Kajsa",,2009,no,no,2010,15,na,na,
SvB_BS_083,Boktjuven,"Zusak, Markus",,2008,no,no,2010,6,na,na,
SvB_BS_084,Igelkottens elegans,"Barbery, Muriel",,2009,2009,12,na,na,na,na,
SvB_BS_085,Höstoffer,"Kallentoft, Mons",,2009,no,no,2010,7,na,na,
SvB_BS_086,I den innersta kretsen,"Sten, Viveca",,2008,no,no,2010,11,na,na,
SvB_BS_087,Eldvittnet,"Kepler, Lars",,2011,2011,1,na,na,na,na,
SvB_BS_088,Änglamakerskan,"Läckberg, Camilla",,2011,2011,2,na,na,na,na,
SvB_BS_089,En dag,"Nicholls, David",,2010,no,no,2011,2,na,na,
SvB_BS_090,Livet deluxe,"Lapidus, Jens",,2011,2011,3,na,na,na,na,
SvB_BS_091,Brobyggarna,"Guillou, Jan",,2011,2011,5,na,na,na,na,
SvB_BS_092,Niceville,"Stockett, Kathryn",,2010,no,no,2011,5,na,na,
SvB_BS_093,"Du gamla, du fria","Marklund, Liza",,2011,2011,7,na,na,na,na,
