p_hp,id,title,author1,author_gender,category,frmt1,frmt2
22424,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
22174,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
21443,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
19811,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
18813,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
17766,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
17619,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
17087,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
16355,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
15860,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
15825,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
15716,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
15697,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
15622,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
15602,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
15495,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
15426,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
15208,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
15123,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
15070,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
15038,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
15010,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
14815,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
14745,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
14712,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
14418,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
