p_pa,id,title,author1,author2,author_gender,category,frmt1,frmt2
43513,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
40165,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
39994,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
39957,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
38791,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
38515,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
37405,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
37354,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
37177,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
36758,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
36375,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
36202,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
36134,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
35030,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
34575,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
33515,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
32991,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
32727,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
32485,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
32195,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
32075,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
31993,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
31893,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
31809,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
31759,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
31388,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
30617,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
30349,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
30022,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
29930,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
29880,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
29821,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
29755,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
29721,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
29469,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
29361,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
29275,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
29102,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
28840,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
28407,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
28116,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
27829,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
27249,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
27214,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
27013,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
26792,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
26726,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
26566,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
26253,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
26119,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
25807,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
25764,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
25333,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
25233,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
25213,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
24975,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
24905,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
24642,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
24481,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
24124,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
24081,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
23941,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
23875,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
23576,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
23372,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
23330,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
23237,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
23204,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
23033,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
22974,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
22622,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
22451,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
22350,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
22292,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
22283,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
22175,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
21901,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
21796,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
21761,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
21620,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
21402,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
21316,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
20898,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
20066,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
19989,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
19928,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
19643,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
19602,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
19475,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
19270,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
19030,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
18553,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
18248,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
18167,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
17865,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
17511,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
17449,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
17310,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
17150,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
17082,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
16557,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
16462,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
16381,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
16209,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
15578,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
15482,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
14882,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
14877,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
14378,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
14293,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
14006,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
13930,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
13262,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
12372,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
12298,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
11255,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
11119,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
9687,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
9618,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
5755,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
4901,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
4800,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
4721,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
4703,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
4206,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
3898,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
3860,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
2776,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
2678,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
2230,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
2019,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
1623,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
1599,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
1436,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
1371,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
1342,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
1192,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
1155,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
1139,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
888,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
834,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
823,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
781,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
756,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
702,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
591,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
527,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
473,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
448,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
445,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
416,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
400,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
382,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
376,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
342,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
317,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
316,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
296,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
295,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
258,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
182,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
113,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
94,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
89,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
73,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
62,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
57,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
37,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
31,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
28,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
27,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
25,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
