p_pc,id,title,author1,author2,author_gender,category,frmt1,frmt2
18448,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
16517,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
16284,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
15434,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
15187,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
13343,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
13311,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
12916,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
12896,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
12855,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
12816,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
12729,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
12647,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
12368,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
12039,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
12013,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
11970,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
11825,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
11809,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
11736,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
11625,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
11432,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
11361,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
11328,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
11310,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
11273,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
11256,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
11211,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
11186,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
11008,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
10950,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
10945,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
10904,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
10840,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
10799,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
10752,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
10720,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
10652,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
10638,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
10527,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
10525,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
10498,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
10487,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
10469,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
10460,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
10446,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
10396,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
10385,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
10359,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
10358,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
10347,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
10327,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
10321,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
10299,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
10255,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
10235,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
10220,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
10218,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
10197,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
10175,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
10171,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
10141,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
10137,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
10136,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
10134,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
10126,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
10067,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
10047,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
9990,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
9981,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
9979,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
9901,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
9873,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
9858,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
9842,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
9838,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
9806,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
9785,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
9782,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
9739,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
9738,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
9720,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
9679,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
9655,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
9644,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
9644,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
9610,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
9587,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
9562,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
9504,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
9466,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
9425,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
9331,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
9325,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
9317,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
9299,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
9271,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
9269,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
9249,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
9230,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
9210,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
9200,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
9191,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
9188,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
9154,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
9134,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
9133,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
9111,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
9080,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
9066,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
