p_pm,id,title,author1,author2,author_gender,category,frmt1,frmt2
55078,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
53486,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
51350,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
50691,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
50018,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
48891,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
48285,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
48176,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
47964,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
47696,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
47543,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
46958,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
46845,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
46700,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
46353,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
46291,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
46180,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
46176,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
46153,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
45714,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
45347,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
45207,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
44412,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
44354,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
44278,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
43254,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
43211,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
43188,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
43123,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
42920,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
42771,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
42233,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
42169,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
42094,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
42061,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
41900,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
40738,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
40726,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
40687,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
40283,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
40269,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
40233,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
40210,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
40201,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
40188,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
40117,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
40105,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
40089,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
39526,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
39309,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
38918,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
38772,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
38734,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
38688,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
38638,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
38577,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
38314,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
38053,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
38002,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
37867,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
37807,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
37600,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
37471,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
37435,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
37395,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
37270,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
37199,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
37140,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
36666,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
36633,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
36581,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
36575,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
36435,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
36430,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
36318,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
36033,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
36013,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
35901,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
35832,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
35796,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
35784,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
35566,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
35499,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
35321,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
35254,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
35023,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
34939,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
34929,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
34757,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
34673,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
34348,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
34240,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
34039,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
