r_aux,id,title,author1,author_gender,category,frmt1,frmt2
41710,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
40295,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
38609,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
37505,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
37416,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
36512,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
36367,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
35806,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
35711,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
35591,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
35349,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
35030,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
34833,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
34769,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
34726,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
34695,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
34615,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
34108,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
34105,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
33796,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
33716,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
33503,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
33493,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
33070,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
32917,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
32819,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
32809,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
32746,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
32684,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
32613,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
32585,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
32512,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
32500,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
32371,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
32326,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
32274,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
32166,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
32063,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
31946,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
31833,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
31790,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
31785,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
31623,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
31610,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
31492,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
31043,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
30865,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
30743,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
30691,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
