r_discourse,id,title,author1,author_gender,category,frmt1,frmt2
8390,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
6254,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
3974,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
3402,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
2262,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
2145,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
2093,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
2086,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
2001,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1944,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
1850,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
1835,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
1801,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
1761,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1760,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
1733,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
1723,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
1709,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
1692,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
1667,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
1624,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
1622,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
1596,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
1549,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
1549,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
1520,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
1479,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
1472,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
1438,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
1434,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
