r_nsubj,id,title,author1,author_gender,category,frmt1,frmt2
138270,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
133520,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
131721,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
131173,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
128783,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
124883,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
124806,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
124757,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
124570,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
124193,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
124005,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
123979,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
123777,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
123650,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
123635,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
123074,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
123034,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
122944,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
122896,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
122796,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
121700,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
121673,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
121667,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
121450,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
121205,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
120859,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
120760,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
120283,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
120124,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
119994,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
119902,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
119523,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
119458,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
119441,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
119156,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
119071,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
119006,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
118995,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
118802,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
118658,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
118559,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
118540,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
118216,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
118161,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
118105,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
117971,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
117790,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
117768,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
117616,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
117587,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
117541,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
117478,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
117398,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
117309,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
117257,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
117057,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
116890,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
116750,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
116741,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
116713,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
116656,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
116500,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
116271,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
116175,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
115885,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
