r_obj,id,title,author1,author_gender,category,frmt1,frmt2
64344,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
62178,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
62038,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
61706,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
60636,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
60322,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
60303,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
60097,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
59782,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
59573,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
59458,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
59351,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
59026,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
58981,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
58951,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
58935,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
58903,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
58483,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
58389,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
58344,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
58300,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
58196,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
58070,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
58030,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
57812,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
57629,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
57502,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
57496,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
57420,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
57378,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
57327,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
57260,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
57191,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
56935,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
56777,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
56685,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
56544,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
56489,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
56451,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
56426,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
56280,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
56211,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
56183,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
56177,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
56145,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
56070,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
56065,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
56050,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
55963,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
55814,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
55644,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
55619,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
55590,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
55532,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
55486,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
55449,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
