wc,id,title,author1,author2,author_gender,category,frmt1,frmt2
297642,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
204490,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
181853,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
177793,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
170250,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
170040,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
161122,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
154070,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
152886,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
152381,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
151627,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
150911,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
150078,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
148858,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
146203,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
145556,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
143373,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
142811,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
142176,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
141055,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
140165,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
138807,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
138527,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
137523,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
135385,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
134713,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
134314,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
134016,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
133957,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
133287,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
129858,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
129488,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
