id,title,author1,author_gender,category,frmt1,frmt2,n,common,rare,ttrall,ttrNN,ttrVB,ttrJJ
SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both,10000,765,36,208,451,192,476
SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell,10000,778,45,218,516,197,510
SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both,10000,778,25,203,466,204,538
SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell,10000,757,48,234,546,214,471
SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell,10000,769,43,211,503,199,436
SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell,10000,773,36,198,479,203,410
SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both,10000,792,25,193,508,180,448
SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell,10000,696,68,256,559,248,461
SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both,10000,748,43,225,568,235,488
SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both,10000,750,41,191,474,175,374
SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell,10000,767,31,162,339,176,387
SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both,10000,740,42,202,435,218,459
SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell,10000,795,34,189,502,167,467
SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both,10000,751,48,222,543,194,521
SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both,10000,782,42,199,490,185,443
SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell,10000,738,45,226,494,234,469
SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both,10000,699,58,259,540,239,558
SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both,10000,805,32,204,472,203,482
SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell,10000,754,49,206,467,225,360
