id,title,author1,author2,author_gender,category,frmt1,frmt2,wc,slm,slsd,plm,plsd,ddm,ddsd
SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both,140165,12649,7552,18676,14257,3122,1348
SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell,170040,14479,12554,41043,47994,3374,1610
SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both,117614,12952,7770,34250,29184,3136,1400
SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell,134713,10163,6770,20570,21224,2934,1312
SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell,125944,10578,8404,26293,36812,3120,1514
SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell,129858,10260,10699,34491,52865,3156,1616
SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both,109557,10497,8120,22552,25453,3096,1483
SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell,122252,14880,9970,35394,28893,3351,1564
SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both,143373,13855,11169,33165,38578,3278,1519
SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both,145556,13586,10222,33709,29671,3469,1778
SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell,90664,10665,8545,23697,27152,3121,1530
SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both,69271,14189,10206,32144,27232,3428,1656
SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell,64349,11100,11650,30439,46119,3342,1869
SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both,135385,9156,6823,22951,23506,2886,1320
SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both,39048,10064,8139,32218,39293,2962,1355
SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell,98292,12827,7895,19990,17168,3126,1346
SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both,77900,11431,8485,19707,20250,3063,1412
SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both,119240,11750,9897,27274,29294,3162,1495
SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell,181853,9413,10123,18888,25836,3291,1848
SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell,152886,12290,10699,150330,135330,3143,1479
SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell,75595,12120,8342,50397,56161,3174,1516
