p_mi,id,title,author1,author_gender,category,frmt1,frmt2
85664,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
85081,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
82894,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
82438,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
80899,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
80385,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
79836,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
78316,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
78112,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
76792,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
75849,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
75027,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
74357,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
74219,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
73994,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
73841,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
73837,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
72685,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
71182,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
70771,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
69645,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
68578,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
68421,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
68365,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
68305,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
67980,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
67646,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
67517,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
67496,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
66991,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
66878,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
66575,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
66373,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
66073,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
65828,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
65734,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
64675,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
64396,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
63897,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
63708,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
63601,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
63531,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
63446,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
63245,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
63105,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
62039,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
61880,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
