p_pn,id,title,author1,author_gender,category,frmt1,frmt2
158894,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
152755,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
147257,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
145135,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
141307,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
141162,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
140687,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
138283,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
136883,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
136541,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
136189,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
136170,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
135571,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
135306,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
134560,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
134488,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
132744,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
132594,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
131996,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
130379,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
129789,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
129483,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
128798,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
128130,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
128003,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
127943,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
127178,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
126903,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
126800,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
126657,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
125683,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
125520,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
125232,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
124300,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
123620,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
123289,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
123136,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
123079,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
123052,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
122935,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
122713,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
122583,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
122303,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
121946,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
121762,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
121541,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
121268,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
120889,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
120831,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
120221,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
119472,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
119415,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
119278,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
119178,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
119070,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
118772,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
118635,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
118604,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
118377,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
117915,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
117672,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
117475,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
117241,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
117207,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
116878,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
116811,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
116341,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
115979,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
115899,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
115736,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
115575,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
115496,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
115435,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
115402,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
115195,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
