r_advcl,id,title,author1,author_gender,category,frmt1,frmt2
37834,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
33022,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
32018,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
31609,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
30962,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
30630,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
30608,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
30383,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
30374,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
30063,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
30039,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
30038,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
29962,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
29882,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
29725,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
29687,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
29039,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
28841,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
28533,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
28326,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
28272,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
28190,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
28108,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
27984,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
27864,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
27684,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
27638,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
27383,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
27341,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
27309,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
27247,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
26739,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
26687,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
26613,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
26606,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
26564,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
26443,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
26370,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
26227,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
26206,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
26088,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
25991,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
25965,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
25859,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
25835,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
25735,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
25723,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
25680,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
25545,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
25539,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
25519,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
25365,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
25336,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
25214,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
25142,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
25029,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
25024,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
24947,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
24924,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
24701,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
24688,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
24671,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
24628,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
24575,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
