r_parataxis,id,title,author1,author_gender,category,frmt1,frmt2
26338,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
25695,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
25261,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
25167,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
25087,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
24654,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
23574,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
22348,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
22296,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
22214,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
21850,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
21777,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
21491,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
21312,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
20981,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
20847,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
20762,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
20607,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
20418,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
20120,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
20116,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
19981,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
19857,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
19644,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
19624,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
19413,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
19275,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
19040,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
18882,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
18795,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
18718,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
18617,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
18469,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
18430,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
18279,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
18217,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
18199,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
17962,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
17716,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
17629,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
17531,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
17198,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
17179,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
16971,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
16915,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
16798,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
16692,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
16580,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
16406,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
16392,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
16379,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
16151,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
16101,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
16085,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
15822,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
15700,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
15602,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
15325,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
15294,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
15273,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
15257,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
15198,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
15155,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
15153,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
15112,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
15094,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
15042,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
14837,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
14832,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
14723,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
14560,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
