r_root,id,title,author1,author_gender,category,frmt1,frmt2
141308,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
111291,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
94105,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
92452,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
92220,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
90849,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
89736,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
89105,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
89051,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
88886,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
88572,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
88250,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
87909,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
87439,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
86834,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
86621,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
86281,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
86201,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
86041,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
85424,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
85191,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
84536,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
84248,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
83873,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
83265,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
83193,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
82966,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
82620,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
82472,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
81778,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
81723,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
81584,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
80513,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
80471,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
80464,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
80052,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
80012,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
79939,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
79723,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
79715,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
79504,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
79471,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
79460,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
79451,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
